title,netflixId,image,link,categories,watched,imdb_id,imdb_rating,imdb_votes,year,rated,runtime,genres,director,actors,plot,awards,imdb_poster,content_type,total_seasons,type,imdb_rating_numeric,imdb_votes_numeric
ONE PIECE,80217863,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABSKVhukzK7SFqFHFHpDTkA2IJ2secMhw6fW7VEOiI5qEtu62PvD-elEjCALOCzanQwPCZFuRurV-I2FDOaj5uDmu9yjPS31zj3E.jpg?r=22e,https://www.netflix.com/watch/80217863?tctx=15%2C22%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80217863%2C,"['Award-Winning TV Shows', 'Only on Netflix']",False,tt0388629,9.0,"331,084",1999–,TV-14,24 min,"Animation, Action, Adventure",N/A,"Mayumi Tanaka, Akemi Okamura, Tony Beck","Rubber-bodied dreamer Monkey D. Luffy gathers an eclectic pirate crew and braves the perilous Grand Line, battling tyrants and monsters to claim the legendary ""One Piece"" and become King of the Pirates.",7 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMTNjNGU4NTUtYmVjMy00YjRiLTkxMWUtNzZkMDNiYjZhNmViXkEyXkFqcGc@._V1_SX300.jpg,,1,series,9.0,331084
The Last Dance,80203144,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABeKzVL6EKRM-CIq5AscO_ak-GgQf0Y7M3ihXcZ4tuHuDEuvtPy7_tK-PKV6__CbY6noZE8Q1ER7W80Yyvjweqt6rPqg2woNTDAI.jpg?r=b56,https://www.netflix.com/watch/80203144?tctx=13%2C32%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80203144%2C,['Emmy-Winning TV Shows'],False,tt8420184,9.0,"169,328",2020,TV-MA,491 min,"Documentary, Biography, History",N/A,"Michael Jordan, Phil Jackson, Scottie Pippen","Led by Michael Jordan, the 1990s Chicago Bulls establish themselves as one of the most notable dynasties in sports history.",Won 1 Primetime Emmy. 10 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BOTQyYmQ1N2UtYjFkNS00NzgyLTk5YTUtYjExMDdjOTA3MGU2XkEyXkFqcGc@._V1_SX300.jpg,,1,series,9.0,169328
Kota Factory,81249783,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABartnV7BMHx1D0NIFIGKsaDAvb36Gx-Hr5a3fCJuJv48JP5mzTBIcbtdR3EHcV8BihPTrhBokZjYk17FgzdMhWrX4huSm8k9fOI.jpg?r=905,https://www.netflix.com/watch/81249783?tctx=31%2C25%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81249783%2C,['Critically Acclaimed TV Dramas'],False,tt9432978,9.0,"86,711",2019–2021,TV-14,45 min,"Comedy, Drama",N/A,"Mayur More, Jitendra Kumar, Ranjan Raj","In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",13 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BY2U5MjY1NWEtZDI2MS00NTlhLWEyODQtYzE0MzY3NDUyNzE3XkEyXkFqcGc@._V1_SX300.jpg,,3,series,9.0,86711
Seinfeld,70153373,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABUKqUCSPLp2WnaArMehIM8HR1jQpHTKBmYk2KxmrAKUDx7xLmrG89ZLDLQBh0bk-XU2xA6R_qrcfzkOCjJcuTZj9GfQwlMj1t-g.webp?r=e86,https://www.netflix.com/watch/70153373?tctx=3%2C26%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A70153373%2C,"['Recovery-mode Recommendations', 'Emmy-Winning TV Shows', 'Because you liked Gilmore Girls']",False,tt0098904,8.9,"379,773",1989–1998,TV-PG,22 min,Comedy,N/A,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards",The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,Won 10 Primetime Emmys. 81 wins & 197 nominations total,https://m.media-amazon.com/images/M/MV5BMmRjNjZjN2ItN2FkYi00ZDg0LWExN2EtMTU2ODUwNWU1M2NhXkEyXkFqcGc@._V1_SX300.jpg,,9,series,8.9,379773
DEATH NOTE,70204970,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABVwnnqcOb8KyjjKb1KCIAeB6zz3x_lmn07z7foJr1pyAVMZXWXqKDyiqirPOIdEzOHTVfGRBLJvzLHjyoBi8E5ApEU7wDLF120Y.webp?r=e04,https://www.netflix.com/watch/70204970?tctx=17%2C32%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A70204970%2C,"['So Completely Captivating', 'Bingeworthy Suspenseful TV Shows', 'Horror TV Serials']",False,tt0877057,8.9,"447,036",2006–2007,TV-14,24 min,"Animation, Crime, Drama",N/A,"Mamoru Miyano, Brad Swaile, Vincent Tong",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYTgyZDhmMTEtZDFhNi00MTc4LTg3NjUtYWJlNGE5Mzk2NzMxXkEyXkFqcGc@._V1_SX300.jpg,,1,series,8.9,447036
BoJack Horseman,70300800,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABSPrpje4WvuIa5T4GOnxDvPOU4N850p5ctT0UHUMyMgnDWTp7QoA1CiAguCydVr3-Es8qHKi8JKyjYvT461g12WIddkEtxr91hE.jpg?r=0e4,https://www.netflix.com/watch/70300800?tctx=3%2C15%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A70300800%2C,['Recovery-mode Recommendations'],False,tt3398228,8.8,"224,957",2014–2020,TV-MA,25 min,"Animation, Comedy, Drama",N/A,"Will Arnett, Amy Sedaris, Alison Brie","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",Nominated for 3 Primetime Emmys. 35 wins & 43 nominations total,https://m.media-amazon.com/images/M/MV5BZmMwMDlkNTEtMmQzZS00ODQ0LWJlZmItOTgwYWMwZGM4MzFiXkEyXkFqcGc@._V1_SX300.jpg,,6,series,8.8,224957
VINLAND SAGA,81249833,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABY7H7m_ksWVac53e44eDDbVJW0t3MqM6Qy02aKoWNG2dI0_UzbmE9JRcvNQzpImAjhMSmV24gifLhv-Zl8lxkmY7X20Tb5W3rgE.webp?r=65d,https://www.netflix.com/watch/81249833?tctx=34%2C4%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81249833%2C,['Action TV'],False,tt10233448,8.8,"119,696",2019–2023,TV-MA,24 min,"Animation, Action, Adventure",N/A,"Shin'ya Takahashi, Yûto Uemura, Mike Haimoto","Following a tragedy, Thorfinn embarks on a journey with the man responsible for it to take his life in a duel as a true and honorable warrior to pay homage.",10 wins & 40 nominations total,https://m.media-amazon.com/images/M/MV5BNDA3MGNmZTEtMzFiMy00ZmViLThhNmQtMjQ4ZDc5MDEyN2U1XkEyXkFqcGc@._V1_SX300.jpg,,2,series,8.8,119696
When They See Us,80200549,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABZqmfa0YUQS41BF0dHauH7JMBQe5GG1f0VDp8s_i49cYkfVkdrrc2wclKVjJ26OMooW-wAEdk-xmHFxetW8DcqYaQXb82C5NQ84.jpg?r=4ae,https://www.netflix.com/watch/80200549?tctx=13%2C37%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80200549%2C,"['Emmy-Winning TV Shows', 'Critically Acclaimed Crime TV Dramas']",False,tt7137906,8.8,"152,375",2019,TV-MA,296 min,"Biography, Crime, Drama",Ava DuVernay,"Asante Blackk, Caleel Harris, Ethan Herisse",Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,Won 2 Primetime Emmys. 31 wins & 78 nominations total,https://m.media-amazon.com/images/M/MV5BMGU0MDIzZTAtYjBjZi00ZDQ1LThlYzctNWJkOWU4NTI5OWNkXkEyXkFqcGc@._V1_SX300.jpg,,1,series,8.8,152375
Dark,80100172,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABcfyOQppF5SDQRdDQ6x6nncB3Cmg5qkY9ep6DVI22cTHo5M9BY5WoDXqXcRbHNxNm_HSZTG8mQVdYaavXfFngMNuW5FabeN7O3A.jpg?r=d31,https://www.netflix.com/watch/80100172?tctx=5%2C3%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80100172%2C,"['Sci-Fi TV', 'Award-Winning TV Shows']",False,tt5753856,8.7,"514,206",2017–2020,TV-MA,60 min,"Crime, Drama, Mystery",N/A,"Louis Hofmann, Karoline Eichhorn, Lisa Vicari","A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",8 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BOWJjMGViY2UtNTAzNS00ZGFjLWFkNTMtMDBiMDMyZTM1NTY3XkEyXkFqcGc@._V1_SX300.jpg,,3,series,8.7,514206
Crash Landing on You,81159258,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABcCgFJ9mhW7zH77k5WC0-ginN54ZCdF8w8VnB6aBXtwi9LlrmUk4wiWtCyDXENAg9Z0Mt6ukLrPm9jUpK88xjqsTH-G_pNUvTds.jpg?r=cc9,https://www.netflix.com/watch/81159258?tctx=31%2C36%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81159258%2C,['Critically Acclaimed TV Dramas'],False,tt10850932,8.7,"50,933",2019–2020,TV-14,70 min,"Adventure, Comedy, Drama",N/A,"Hyun Bin, Son Ye-jin, Seo Ji-hye",The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting ...,4 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BZjM3ZGQ4ZTMtOTNjMS00NmJlLTljMWUtNWExMzJhMGJlMWNiXkEyXkFqcGc@._V1_SX300.jpg,,1,series,8.7,50933
Narcos,80025172,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABQOoyM4gLd778JW0823UOhiv-LMQY1qMP_v8HrzA_wVi5pKk29SYYbw7bWtlZC829pHKBr8YYkHhIq5eszZ_23hUfq1PFpXdigM.jpg?r=9b3,https://www.netflix.com/watch/80025172?tctx=4%2C3%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80025172%2C,['Criminal Investigation TV Shows'],False,tt2707408,8.7,"509,724",2015–2017,TV-MA,49 min,"Biography, Crime, Drama",N/A,"Pedro Pascal, Wagner Moura, Boyd Holbrook","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",Nominated for 3 Primetime Emmys. 8 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BNzQwOTcwMzIwN15BMl5BanBnXkFtZTgwMjYxMTA0NjE@._V1_SX300.jpg,,3,series,8.7,509724
Black Mirror,70264888,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABU5FlXyIgPK9-t0Z04x8GtZMiPOl3hdZn4MEQHM2VjxNwleMIYVmTVfADra8Jt-Fc0dmPcPeS5mTisbFzFxLhOKcjqpktxAi0iU.jpg?r=6a3,https://www.netflix.com/watch/70264888?tctx=5%2C8%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A70264888%2C,"['Sci-Fi TV', 'In a Mood', 'Emmy-Winning TV Shows', 'Award-Winning TV Shows', 'TV Dramas', 'Only on Netflix', 'Critically Acclaimed TV Dramas']",False,tt2085059,8.7,"723,851",2011–,TV-MA,60 min,"Crime, Drama, Mystery",N/A,"Anjana Vasan, Paapa Essiedu, Cristin Milioti","Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The Twilight Zone"" with stories that tap into the collective unease about the moder...",Won 6 Primetime Emmys. 48 wins & 173 nominations total,https://m.media-amazon.com/images/M/MV5BODcxMWI2NDMtYTc3NC00OTZjLWFmNmUtM2NmY2I1ODkxYzczXkEyXkFqcGc@._V1_SX300.jpg,,7,series,8.7,723851
Peaky Blinders,80002479,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABVe2MSp-GTcCCYOw1F92joLX3ztp2lGXMsYwHjCKa37Zm4kNAdvcZSaIsh-Ykq9Ggfqa349mGIixcd-boJubRHpu-zoUH6yIvk8.jpg?r=a62,https://www.netflix.com/watch/80002479?tctx=15%2C2%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80002479%2C,['Award-Winning TV Shows'],False,tt2442560,8.7,"745,747",2013–2022,TV-MA,60 min,"Crime, Drama",N/A,"Cillian Murphy, Paul Anderson, Sophie Rundle","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",Won 1 BAFTA Award25 wins & 56 nominations total,https://m.media-amazon.com/images/M/MV5BOGM0NGY3ZmItOGE2ZC00OWIxLTk0N2EtZWY4Yzg3ZDlhNGI3XkEyXkFqcGc@._V1_SX300.jpg,,6,series,8.7,745747
BLUE EYE SAMURAI,81144203,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABZ2lnH5Xn4dmf7lqRx7AOTHvzOAx0c6tdUJKg3EuAR3CfEU0aAZaMexYALiRZ1KjRzcvljkRqWxUegoTm9IiPttX0nN0o5cJEy0.jpg?r=a7c,https://www.netflix.com/watch/81144203?tctx=13%2C30%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81144203%2C,['Emmy-Winning TV Shows'],False,tt13309742,8.7,"96,676",2023–,TV-MA,N/A,"Animation, Action, Adventure",N/A,"Maya Erskine, George Takei, Masi Oka","Driven by a dream of revenge against those who made her an outcast in Edo-period Japan, a young warrior cuts a bloody path toward her destiny.",Won 4 Primetime Emmys. 15 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BY2E4ZGIwZWYtMGRiMS00NGI2LTgwYzAtZGY5NGVhNzY3Yjk0XkEyXkFqcGc@._V1_SX300.jpg,,1,series,8.7,96676
Dexter,70136126,https://occ-0-2087-2164.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABQ-5URg4em5lvVW-3yZxrH0s0k30_5DVtqtCOzVyxmoxsdqKOSsHIbnbyh-tAUbv1t2lQng-2IWgGEquPNNYmi-xX5dHNZJTo0w.webp?r=c40,https://www.netflix.com/watch/70136126?tctx=4%2C5%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A70136126%2C,"['Criminal Investigation TV Shows', 'Emmy-Winning TV Shows', 'Award-Winning TV Shows', 'TV Dramas', 'Critically Acclaimed TV Dramas', 'Because you liked Gilmore Girls']",False,tt0773262,8.6,"901,213",2006–2013,TV-MA,53 min,"Crime, Drama, Mystery",N/A,"Michael C. Hall, Jennifer Carpenter, David Zayas","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and his nights committing them.",Won 4 Primetime Emmys. 56 wins & 202 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ3YmQ4YzMtOTkyZC00YmM5LThhZjEtM2E0MjFkNTc0OGJhXkEyXkFqcGc@._V1_SX300.jpg,,8,series,8.6,901213
